               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.021571,            0.007705,            0.013571,             0.61836,             0.52373,             0.58208,             0.30421,            0.020476,           0.0062218,            0.022356,             0.00908,             0.00908,             0.00908
                 117,            0.021492,           0.0079474,              0.0135,              0.6392,             0.57236,             0.59756,             0.30876,            0.019878,           0.0062394,            0.019435,            0.009072,            0.009072,            0.009072
                 118,            0.021866,           0.0077397,            0.014787,             0.54814,             0.55896,             0.53953,             0.27473,             0.02132,           0.0062885,            0.026965,            0.009064,            0.009064,            0.009064
                 119,              0.0215,            0.007996,            0.013831,             0.65547,             0.55796,             0.61314,             0.32046,             0.02153,           0.0060992,            0.023195,            0.009056,            0.009056,            0.009056
                 120,             0.02175,           0.0079147,            0.013694,             0.65795,             0.54258,             0.60424,             0.33155,            0.019852,           0.0061321,            0.021504,            0.009048,            0.009048,            0.009048
                 121,            0.022171,            0.007601,            0.013849,             0.56444,             0.64451,             0.59203,             0.30709,             0.02126,           0.0063682,            0.022238,             0.00904,             0.00904,             0.00904
                 122,            0.021316,           0.0075339,            0.013507,             0.66503,             0.53178,             0.62297,             0.32567,            0.019704,           0.0059757,            0.019246,            0.009032,            0.009032,            0.009032
                 123,            0.021487,           0.0072911,            0.012916,             0.61082,             0.60147,             0.63051,             0.33734,            0.019613,           0.0061884,            0.020052,            0.009024,            0.009024,            0.009024
                 124,            0.021554,           0.0077013,            0.013256,               0.604,              0.5874,              0.5867,             0.31861,            0.020277,           0.0062504,            0.020413,            0.009016,            0.009016,            0.009016
                 125,            0.021723,           0.0075982,            0.013624,             0.60109,             0.63008,             0.61366,             0.33423,            0.019734,           0.0059686,             0.01889,            0.009008,            0.009008,            0.009008
                 126,            0.021409,           0.0078052,            0.013159,             0.41598,             0.57105,              0.4591,             0.20834,            0.024429,           0.0065646,            0.036035,               0.009,               0.009,               0.009
                 127,            0.021327,           0.0077614,            0.013578,             0.59603,             0.54739,             0.58645,              0.3216,            0.020487,           0.0061865,            0.020384,            0.008992,            0.008992,            0.008992
                 128,             0.02154,           0.0076411,            0.012713,             0.56289,             0.60635,             0.58884,             0.32738,            0.019332,           0.0059872,            0.025497,            0.008984,            0.008984,            0.008984
                 129,            0.021022,           0.0077726,            0.012732,             0.66882,             0.53574,             0.59639,             0.32191,             0.02011,           0.0064378,            0.023326,            0.008976,            0.008976,            0.008976
                 130,            0.021113,           0.0079355,            0.013148,             0.64643,             0.54586,             0.60569,             0.34044,            0.019327,            0.006114,             0.02132,            0.008968,            0.008968,            0.008968
                 131,            0.021206,           0.0075585,            0.012822,             0.51696,             0.53263,             0.49323,             0.23391,             0.02391,           0.0064178,            0.032251,             0.00896,             0.00896,             0.00896
                 132,            0.020741,           0.0074619,            0.013169,              0.4063,              0.5136,             0.44291,             0.21426,            0.024985,           0.0065517,             0.03768,            0.008952,            0.008952,            0.008952
                 133,            0.021121,           0.0078763,             0.01268,             0.69464,             0.56601,             0.64053,             0.35139,            0.019269,           0.0061345,            0.017947,            0.008944,            0.008944,            0.008944
                 134,            0.021238,           0.0076491,            0.011892,             0.68036,              0.5698,               0.646,             0.35123,            0.019235,           0.0062265,            0.017497,            0.008936,            0.008936,            0.008936
                 135,            0.021267,           0.0080628,            0.012056,             0.61774,             0.60445,             0.64804,             0.35281,            0.019513,           0.0059934,            0.020363,            0.008928,            0.008928,            0.008928
                 136,            0.021278,           0.0076867,            0.012458,              0.5206,             0.59435,             0.57606,             0.31471,             0.01914,           0.0061173,            0.022295,             0.00892,             0.00892,             0.00892
                 137,            0.021364,           0.0077229,            0.012348,             0.66168,             0.51788,             0.60598,             0.30003,            0.020173,           0.0061803,            0.024149,            0.008912,            0.008912,            0.008912
                 138,            0.020987,           0.0074786,            0.012315,             0.39148,             0.47946,             0.38979,             0.14851,            0.029607,           0.0064597,             0.04176,            0.008904,            0.008904,            0.008904
                 139,            0.021121,            0.007973,            0.011977,             0.59365,             0.62822,             0.64108,             0.34426,            0.019556,           0.0059185,            0.021071,            0.008896,            0.008896,            0.008896
                 140,            0.020858,           0.0074587,            0.012224,             0.47105,             0.32794,             0.37612,             0.15092,            0.027075,           0.0068727,            0.037244,            0.008888,            0.008888,            0.008888
                 141,            0.020499,           0.0074968,            0.011471,             0.59846,             0.55149,             0.59939,              0.3266,            0.019205,           0.0062509,            0.018787,             0.00888,             0.00888,             0.00888
                 142,            0.020845,           0.0074892,            0.010784,             0.56072,             0.52738,              0.5263,             0.25181,            0.023546,           0.0061321,            0.035263,            0.008872,            0.008872,            0.008872
                 143,            0.020791,           0.0076545,            0.011477,             0.62966,             0.58967,             0.63746,             0.35068,            0.019366,           0.0059028,            0.020264,            0.008864,            0.008864,            0.008864
                 144,            0.020992,           0.0077685,            0.011087,             0.57536,             0.68403,             0.66793,             0.37078,            0.018989,             0.00596,            0.018001,            0.008856,            0.008856,            0.008856
                 145,            0.021443,           0.0079242,             0.01087,             0.66696,             0.58018,              0.6502,             0.33485,            0.020524,           0.0060415,            0.020618,            0.008848,            0.008848,            0.008848
                 146,            0.020766,           0.0077188,            0.010999,             0.61491,             0.53685,             0.56236,             0.27568,            0.024053,           0.0061426,            0.027225,             0.00884,             0.00884,             0.00884
                 147,            0.020783,           0.0075845,            0.010356,             0.65406,             0.61128,             0.62815,             0.33338,            0.019729,           0.0061998,            0.019221,            0.008832,            0.008832,            0.008832
